name,description,image_url,location
"Broccoli","Broccoli is a cruciferous vegetable rich in vitamins K and C. It can be steamed, roasted, or eaten raw.","http://www.rivieraproduce.eu/wp-content/uploads/2011/08/image_riviera_broccoli.jpg","fridge"
"Mushroom","Mushrooms are fungi used in various cuisines. They add umami flavor and are low in calories but rich in nutrients.","https://www.wallpaperflare.com/static/894/565/268/matryoshka-red-fly-agaric-mushroom-mushrooms-forest-wallpaper.jpg","fridge"
"Rice","Rice is a staple grain consumed worldwide. It's a versatile ingredient used in dishes from stir-fries to desserts.","https://assets.epicurious.com/photos/568eb0bf7dc604b44b5355ee/master/pass/rice.jpg","pantry"
"Pasta","Pasta is a traditional Italian food made from wheat flour and water. It's available in various shapes and sizes.","https://images.pexels.com/photos/1437267/pexels-photo-1437267.jpeg?cs=srgb&dl=basil-blur-close-up-1437267.jpg&fm=jpg","pantry"
"Lemon","Lemons are citrus fruits known for their tart flavor. Their juice and zest are used in cooking and baking.","https://s-i.huffpost.com/gen/1293800/images/o-LEMONS-facebook.jpg","freezer"
"Vinegar","Vinegar is an acidic liquid produced from fermentation. It's used for pickling, salad dressings, and flavoring.","https://www.liveeatlearn.com/wp-content/uploads/2023/01/types-of-vinegar-1.jpg","fridge"
"Soy sauce","Soy sauce is a liquid condiment made from fermented soybeans. It's salty and used in Asian cooking.","https://i5.walmartimages.com/asr/e802ff23-1123-4015-bc89-6b46432a46f7_1.d29b2301c418680fba45265acdf8d13d.jpeg","fridge"
"Ginger","Ginger is a spicy root used as a flavoring. It has medicinal properties and is used in both sweet and savory dishes.","https://www.almanaturals.net/sites/default/files/product-images/ginger.jpg","fridge"
"Cinnamon","Cinnamon is a spice obtained from the inner bark of trees. It's used in sweet and savory dishes for its warm flavor.","https://www.thehealthy.com/wp-content/uploads/2018/12/cookies9.jpg","fridge"
"Cumin","Cumin is a spice made from dried seeds. It has a warm, earthy flavor and is used in various spice blends.","https://healthjade.com/wp-content/uploads/2017/12/cumin.jpg","pantry"
"Paprika","Paprika is a ground spice made from dried red peppers. It adds color and mild flavor to dishes.","https://ais.kochbar.de/masters/989720/3200x1800/paprika-das-multitalent-unter-den-gemuesesorten.jpg","freezer"
"Nutmeg","Nutmeg is a spice with a warm, nutty flavor. It's used in sweet and savory dishes, especially in baking.","http://gfb.global.ssl.fastly.net/wp-content/uploads/2016/11/nutmeg.jpg","pantry"
"Honey","Honey is a sweet liquid made by bees. It's used as a natural sweetener and has antimicrobial properties.","https://www.thehealthjournals.com/wp-content/uploads/2019/04/honey-878x1024.jpg","pantry"
"Maple syrup","Maple syrup is a sweet syrup made from the sap of maple trees. It's used as a sweetener in various dishes.","https://cottagelife.com/wp-content/uploads/2018/10/shutterstock_187682729.jpg","fridge"
"Almonds","Almonds are edible nuts rich in healthy fats, fiber, and protein. They can be eaten raw or used in cooking.","https://photos.prnewswire.com/prnfull/20151208/294393?max=400","pantry"
"Walnuts","Walnuts are tree nuts rich in omega-3 fatty acids. They are used in baking, salads, and as snacks.","https://i0.wp.com/www.nutritionfitnesscentral.com/wp-content/uploads/2014/11/walnut_close_up.jpg","freezer"
"Coconut milk","Coconut milk is a creamy liquid made from coconut flesh. It's used in Asian cooking and dairy-free recipes.","https://jenniferpartridge.com/wp-content/uploads/2016/01/AdobeStock_187122695.jpg","freezer"
"Tofu","Tofu is a soy product used as a protein source. It's versatile and absorbs flavors well in cooking.","https://www.wellplated.com/wp-content/uploads/2016/08/Crispy-Tofu.jpg","fridge"
"Lentils","Lentils are legumes rich in protein and fiber. They are used in soups, stews, and salads.","https://healthjade.com/wp-content/uploads/2017/11/Lentils-1.jpg","freezer"
"Chickpeas","Chickpeas are legumes used in dishes like hummus and curries. They are rich in protein and fiber.","https://i1.wp.com/wonkywonderful.com/wp-content/uploads/2017/01/oven-toasted-chickpeas-4.jpg?fit=1285,1285&ssl=1","freezer"
"Black beans","Black beans are legumes popular in Latin American cuisine. They are high in protein and fiber.","https://www.jessicagavin.com/wp-content/uploads/2019/05/how-to-cook-black-beans-8.jpg","pantry"
"Yogurt","Yogurt is a fermented dairy product rich in probiotics. It's used in cooking, baking, and as a snack.","https://www.womansworld.com/wp-content/uploads/2020/07/how-to-make-yogurt-1.jpg?resize=768","fridge"
"Cream","Cream is a dairy product composed of the higher-fat layer skimmed from milk. It's used to add richness to dishes.","http://ihmnotessite.com/wp-content/uploads/2020/05/CREAM-1.jpg","freezer"
"Vanilla extract","Vanilla extract is a solution of vanilla in ethanol. It's used as a flavoring in baking and desserts.","http://natashaskitchen.com/wp-content/uploads/2016/11/Homemade-Vanilla-Extract-7.jpg","pantry"
"Baking powder","Baking powder is a leavening agent used in baking. It helps doughs and batters to rise.","None","pantry"
"Baking soda","Baking soda is a leavening agent and neutralizer in baking. It reacts with acids to produce carbon dioxide.","https://i0.wp.com/ultimateoralhealthguide.com/wp-content/uploads/2014/04/baking-soda-2.jpg","fridge"
"Cornmeal","Cornmeal is a coarse flour made from dried corn. It's used in cornbread, polenta, and coatings.","https://www.healthifyme.com/blog/wp-content/uploads/2022/07/shutterstock_1925613104-1.jpg","fridge"
"Sesame oil","Sesame oil is an edible vegetable oil derived from sesame seeds. It adds a nutty flavor to dishes.","https://www.thespruceeats.com/thmb/JSSeVZfack4yf3KgdqqV6hBe1ys=/2121x1414/filters:fill(auto,1)/GettyImages-956051996-5c7ea95446e0fb0001a9847f.jpg","fridge"
"Mustard","Mustard is a condiment made from mustard seeds. It adds a tangy flavor to sandwiches and dressings.","https://www.thespruceeats.com/thmb/pbeKAmNRUuOgOxb7wRSzKd12-sc=/4900x3266/filters:fill(auto,1)/close-up-of-yellow-mustard-seeds-and-sauce-on-table-902484156-5bc65e6c4cedfd0051ef9711.jpg","pantry"
"Ketchup","Ketchup is a sweet and tangy condiment made from tomatoes, sugar, and vinegar. It's commonly used with fries.","https://i5.walmartimages.com/asr/25fd97c8-060b-477a-ab94-7bd6b8334580.95cecfeb7a00cec33ab819b65c36e11c.jpeg","pantry"
"Mayonnaise","Mayonnaise is a thick, creamy condiment made from oil, egg yolks, and vinegar or lemon juice.","https://upload.wikimedia.org/wikipedia/commons/6/60/Mayonnaise_(1).jpg","pantry"
"Lettuce","Lettuce is a leafy vegetable used in salads and sandwiches. It's low in calories and high in water content.","https://images.heb.com/is/image/HEBGrocery/000319391","pantry"
"Zucchini","Zucchini is a summer squash with a mild flavor. It's versatile and can be grilled, roasted, or baked.","https://www.hammertown.com/wp-content/uploads/2016/09/zucchini-feature.jpg","fridge"
"Eggplant","Eggplant is a nightshade vegetable with a spongy texture. It's used in dishes like ratatouille and baba ganoush.","https://1.bp.blogspot.com/-twpj0AZMsWo/VLJFTATb9tI/AAAAAAAAKpo/PuPhR0NfeP8/s1600/eggplant.jpg","pantry"
"Bell pepper","Bell peppers are sweet, mild peppers available in various colors. They are used in salads, stir-fries, and roasting.","https://pepperscale.com/wp-content/uploads/2019/09/Bell-Pepper-Facts.jpg","freezer"
"Jalapeño","Jalapeños are medium-sized chili peppers with mild to moderate heat. They are used fresh or pickled in dishes.","https://thumbs.dreamstime.com/z/jalape%C3%B1o-jalape%C3%B1o-mexican-pepper-high-burning-content-widely-used-cooking-220560378.jpg","pantry"
"Chili powder","Chili powder is a spice blend made from ground dried chilies and other spices. It's used to add heat and flavor.","https://www.thespruceeats.com/thmb/zyahtlqiwYudprvCFoGSm_9lDSY=/5184x3456/filters:no_upscale():max_bytes(150000):strip_icc()/spoon-of-chili-powder-1158868226-ab8aa71fb7ac4005ad68e3791f0aa412.jpg","pantry"
"Turmeric","Turmeric is a bright yellow spice used in curry powders. It has anti-inflammatory properties.","https://img.emedihealth.com/wp-content/uploads/2020/10/turmeric-feat-1.jpg","freezer"
"Saffron","Saffron is a spice derived from the crocus flower. It's known for its distinct flavor and high cost.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Saffron8.jpg/1200px-Saffron8.jpg","pantry"
"Cloves","Cloves are aromatic flower buds used as a spice. They have a strong, pungent flavor.","https://www.healthbenefitstimes.com/9/gallery/clove/Clove.jpg","freezer"
"Cardamom","Cardamom is a spice with a strong, unique taste. It's used in sweet and savory dishes.","https://images.unsplash.com/photo-1622824497447-b284a5493027?ixid=MnwyNTE2NnwwfDF8c2VhcmNofDJ8fGNhcmRhbW9tfGVufDB8fHx8MTYzNjYyNzA0NA&ixlib=rb-1.2.1&q=85&w=2160","freezer"
"Coriander","Coriander refers to the seeds of the cilantro plant. It has a warm, spicy flavor.","https://healthjade.com/wp-content/uploads/2017/12/coriander.jpg","freezer"
"Fennel seeds","Fennel seeds have a sweet, anise-like flavor. They are used in cooking and teas.","https://1.bp.blogspot.com/-CSKmL2UqbJY/VTLacV45knI/AAAAAAAACzE/-OpTyTTtePw/s1600/fennel-seeds.jpg","pantry"
"Star anise","Star anise is a star-shaped spice with a licorice flavor. It's used in Chinese cooking.","https://www.harighotra.co.uk/images/Shutterstock/staranise_560x560.jpg","freezer"
"Bay leaves","Bay leaves are used to add flavor to soups and stews. They are removed before serving.","https://tildaricelive.s3.eu-central-1.amazonaws.com/wp-content/uploads/sites/8/2022/04/14141347/Bay-Leaves-.jpg","pantry"
"Parsley","Parsley is a fresh herb used as a garnish and flavor enhancer. It's rich in vitamins A and C.","https://cdn.britannica.com/63/193863-050-0EC30803/Parsley.jpg","pantry"
"Cilantro","Cilantro is an herb used in various cuisines. It adds a fresh, citrusy flavor to dishes.","https://nutritionfacts.org/app/uploads/2019/01/cilantro-1287301_1920.jpg","fridge"
"Dill","Dill is an herb with feathery leaves. It's used in pickling and dishes like salmon.","http://nashsorganicproduce.com/recipes/wp-content/uploads/2013/04/dill-2.jpg","fridge"
"Mint","Mint is a fragrant herb used in beverages and cooking. It adds a fresh, cool flavor.","https://www.thespruce.com/thmb/okicoeSuE7_m0okpcVNDyKZvQIg=/4726x3151/filters:fill(auto,1)/types-of-mint-5120608-hero-7a3d6d0f70034bcc967080a6d7118967.jpg","pantry"
"Lime","Limes are citrus fruits with a tart flavor. Their juice and zest are used in cooking and cocktails.","https://i5.walmartimages.com/asr/12314833-2e54-4739-94a2-7db45b63109d.16ff07e3c111df9be4158853c2e505ef.jpeg","freezer"
"Orange","Oranges are citrus fruits rich in vitamin C. They are used in cooking, baking, and juices.","http://media2.popsugar-assets.com/files/thumbor/5bDtJLUd5u858BagEWhcAXZ8EG4/fit-in/2048xorig/filters:format_auto-!!-:strip_icc-!!-/2012/11/47/1/192/1922195/574f46474ab2683d_shutterstock_49887109/i/Oranges.jpg","fridge"
"Banana","Bananas are tropical fruits with sweet flesh. They are eaten raw or used in baking.","http://upload.wikimedia.org/wikipedia/commons/6/69/Banana.png","fridge"
"Strawberry","Strawberries are sweet, red berries rich in vitamin C. They are used in desserts and jams.","https://cdn.britannica.com/22/75922-050-D3982BD0/flowers-fruits-garden-strawberry-plant-species.jpg","fridge"
"Blueberry","Blueberries are small berries rich in antioxidants. They are used in baking and as toppings.","https://www.isons.com/wp-content/uploads/2016/11/Farthing_High-Bush_Blueberry_Page-9_SS_85960234.jpg","pantry"
"Raspberry","Raspberries are tart berries rich in fiber and vitamins. They are used in desserts and sauces.","https://cdn.britannica.com/83/156583-050-4A1FABB5/Red-raspberries.jpg","pantry"
"Apple","Apples are crisp fruits available in many varieties. They are eaten raw or used in cooking and baking.","https://quieromac.com/cdn/shop/files/AppleWatchSeries7Blancoestrella.jpg?crop=center&height=533&v=1707512777&width=533","fridge"
"Pear","Pears are sweet fruits with a soft texture. They are eaten raw or used in desserts.","https://i0.wp.com/www.goodwholefood.com/wp-content/uploads/2016/08/pear-single-green.jpg?w=2400","freezer"
"Peach","Peaches are juicy fruits with fuzzy skin. They are used in desserts, jams, and salads.","http://blogs.extension.iastate.edu/wellness/files/2014/08/peach.jpg","fridge"
"Mango","Mangoes are tropical fruits with sweet, juicy flesh. They are eaten fresh or used in smoothies.","http://www.modernthrill.com/wp-content/uploads/2015/06/Mangoes.jpg","freezer"
"Pineapple","Pineapples are tropical fruits with sweet and tart flavor. They are eaten fresh or used in cooking.","https://media.self.com/photos/5b4371cc4d0c3c282a8878d3/4:3/w_2560%2Cc_limit/pineapple.jpg","fridge"
"Watermelon","Watermelon is a large fruit with sweet, juicy flesh. It's a refreshing summer treat.","https://www.thespruce.com/thmb/pjDqYUU4EG1y_fNU4x23WCbqLXA=/4238x2827/filters:fill(auto,1)/when-to-harvest-watermelon-2539591-04-f7f99d3a73d846cb9d453f8a6f0cc7ee.jpg","freezer"
"Cucumber","Cucumbers are crunchy vegetables with high water content. They are used in salads and pickling.","https://www.tasteofhome.com/wp-content/uploads/2018/06/shutterstock_520879192.jpg?w=1200","pantry"
"Sweet potato","Sweet potatoes are root vegetables with sweet flesh. They are rich in beta-carotene.","https://i2.wp.com/reluctantentertainer.com/wp-content/uploads/2017/10/Roasted-Sweet-Potatoes-with-Rosemary-3.jpg","pantry"
"Kale","Kale is a leafy green vegetable rich in vitamins K and C. It's used in salads and cooking.","https://cdn.britannica.com/74/181374-050-83F7B492/kale-leaves.jpg","freezer"
"Quinoa","Quinoa is a gluten-free seed used like a grain. It's high in protein and fiber.","https://greenbowl2soul.com/wp-content/uploads/2020/09/Healthy-quinoa-recipe-1024x1024.jpg","pantry"
"Couscous","Couscous is a North African dish made from semolina. It serves as a base for stews and meats.","https://i2.wp.com/hedihearts.com/wp-content/uploads/2015/04/cous-cous-2.jpg","freezer"
"Oats","Oats are whole grains used in breakfast cereals and baking. They are rich in fiber.","https://discovery-assets-production.s3.eu-west-1.amazonaws.com/app/uploads/2022/09/02133657/GettyImages-1331420201.jpg","pantry"
"Barley","Barley is a cereal grain used in soups, stews, and brewing. It's high in fiber and nutrients.","https://www.fromthecomfortofmybowl.com/wp-content/uploads/2020/11/how-to-cook-barley.jpg","fridge"
"Corn","Corn is a cereal grain eaten fresh or used in cooking. It's versatile and used in many forms.","http://freshfromflorida.files.wordpress.com/2009/11/sweet-corn-2.jpg","freezer"
"Peas","Peas are small green legumes used in cooking. They are high in fiber and protein.","https://vegetablerecipes.com/wp-content/uploads/2026/04/Quick-Buttered-Peas-VR-3-1-of-1.jpg","fridge"
"Asparagus","Asparagus is a spring vegetable with tender shoots. It's rich in vitamins and minerals.","http://freefoodphotos.com/imagelibrary/vegetables/asparagus_tips.jpg","fridge"
"Artichoke","Artichokes are thistle-like vegetables. Their hearts are eaten and are rich in antioxidants.","https://www.thespruceeats.com/thmb/gF7CFdComYOWagMqkZbjQ_k1e6g=/4950x3300/filters:no_upscale():max_bytes(150000):strip_icc()/Artichokes-at-Market-588ad4f13df78caebcad3924.jpg","pantry"
"Brussels sprouts","Brussels sprouts are small cabbages rich in nutrients. They are roasted, steamed, or sautéed.","https://www.jessicagavin.com/wp-content/uploads/2018/12/roasted-brussels-sprouts-10-1200.jpg","fridge"
"Cauliflower","Cauliflower is a cruciferous vegetable used in various dishes. It's low in calories and high in fiber.","http://nutrawiki.org/wp-content/uploads/2015/09/Cauliflower.jpg","pantry"
"Leeks","Leeks are vegetables related to onions. They have a mild flavor and are used in soups and stews.","https://cdn.loveandlemons.com/wp-content/uploads/2020/11/leek-1.jpg","pantry"
"Scallions","Scallions, or green onions, are used as a garnish and in cooking. They add a mild onion flavor.","https://www.thespruce.com/thmb/De8n_rjUKNz9oBWP56xMxDOpWkw=/5750x3834/filters:fill(auto,1)/how-to-grow-scallions-4125799-06-dba124a208ea4be29caefa1ca7bf8cb7.jpg","pantry"
"Chives","Chives are herbs with a mild onion flavor. They are used as a garnish in dishes.","http://nashsorganicproduce.com/recipes/wp-content/uploads/2013/04/chives.jpg","pantry"
"Shallots","Shallots are small onions with a delicate flavor. They are used in sauces and dressings.","https://www.dixondalefarms.com/images/uploads/120_531_thumb.jpg","pantry"
"Capers","Capers are pickled flower buds used as a seasoning. They add a tangy, salty flavor to dishes.","https://insanelygoodrecipes.com/wp-content/uploads/2023/04/Brown-Bowl-Filled-With-Capers-1024x1024.jpg","fridge"
"Anchovies","Anchovies are small, oily fish used as a flavoring. They are salty and used in sauces and pizzas.","https://www.thespruceeats.com/thmb/sBfxxP5ZVsizzfQh85c6nY9P5uc=/4700x3134/filters:fill(auto,1)/spanish-fried-anchovies-recipe-3083690-hero-01-ac8008258e724f4d996c2995197341e3.jpg","freezer"
"Sardines","Sardines are small fish rich in omega-3 fatty acids. They are eaten whole, canned, or fresh.","https://www.thespruceeats.com/thmb/jkgW06-uCwrjVRUGR1EKSgV8RIc=/2122x1412/filters:no_upscale():max_bytes(150000):strip_icc()/BillVarie-afd48a18fd2c4e4586bd419e82f70424.jpg","fridge"
"Tuna","Tuna is a popular fish used in sushi, salads, and sandwiches. It's a good source of protein.","https://blogchef.net/wp-content/uploads/2022/05/How-To-Cook-Bluefin-Tuna-2-scaled.jpg","fridge"
"Crab","Crab meat is sweet and delicate. It's used in salads, cakes, and seafood dishes.","https://s.yimg.com/uu/api/res/1.2/YFVxw1wIcWaATIZDW3aaJw--~B/aD0xMzMzO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/coastal_living_439/de27d470540389652b547f952cd596cb","pantry"
"Lobster","Lobster is a luxury seafood known for its rich flavor. It's steamed, grilled, or boiled.","https://www.manettas.com.au/mwp/wp-content/uploads/2016/08/WA-Cooked-Lobster.jpg","pantry"
"Clams","Clams are shellfish used in chowders and pasta dishes. They are high in protein and minerals.","https://theartoffoodandwine.com/wp-content/uploads/2019/09/IMG_1154.jpg","fridge"
"Mussels","Mussels are shellfish cooked by steaming. They are used in soups, stews, and pasta.","https://www.thespruceeats.com/thmb/yDDtLzQ-OKzh50bB3eQFpNvy9CU=/4048x2696/filters:fill(auto,1)/steamed-mussels-white-wine-recipe-995527-hero-01-5c7d663446e0fb00018bd861.jpg","freezer"
"Octopus","Octopus is a seafood delicacy. It's cooked in various ways and is rich in protein.","https://fthmb.tqn.com/-tQ-2g4SZONLOBl8oj_LBpPiJfM=/2250x1500/filters:fill(auto,1)/182147638-56a006d35f9b58eba4ae8c3e.jpg","pantry"
"Squid","Squid is a seafood used in dishes like calamari. It's low in calories and high in protein.","https://www.nsf.gov/news/mmg/media/images/PF7048_squid_h.jpg","freezer"
"Pork chop","Pork chops are cuts of meat from the pig's loin. They are grilled, baked, or fried.","https://cdn.apartmenttherapy.info/image/fetch/f_auto,q_auto:eco,w_1460/https://storage.googleapis.com/gen-atmedia/3/2018/06/8f75b81de7b77fabcc94cea650e42eb4cb3ee5db.jpeg","fridge"
"Bacon","Bacon is cured meat from pork belly. It's used in breakfasts, salads, and as a flavor enhancer.","https://cdn.apartmenttherapy.info/image/fetch/f_auto,q_auto:eco/https://storage.googleapis.com/gen-atmedia/3/2013/03/ad4881c2ec9f21cafb7f5d209c83b6849d6b0d23.jpeg","freezer"
"Ham","Ham is cured meat from the hind leg of a pig. It's eaten cold or cooked in dishes.","https://www.thespruceeats.com/thmb/lSsCPTvso3ajMI7hZ_pQ_4lhw-4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/dr-pepper-ham-4769007-06-c8362afe2ec3462cb62fa948adf1fd4e.jpg","freezer"
"Sausage","Sausages are meat products seasoned and encased. They come in various types and flavors.","https://s3.amazonaws.com/images.ecwid.com/images/22661230/1377832526.jpg","freezer"
"Turkey","Turkey is a lean poultry meat used in roasts and sandwiches. It's rich in protein.","https://www.pbs.org/wnet/nature/files/2021/07/william-stark-g_eUvcUypDY-unsplash-scaled.jpg","fridge"
"Duck","Duck meat is flavorful and rich. It's used in roasts and confit.","https://i2.wp.com/passnownow.com/wp-content/uploads/2015/06/duck.jpg?fit=2000%2C1339&ssl=1","fridge"
"Lamb","Lamb is meat from young sheep. It's tender and used in roasts and stews.","https://images.wisegeek.com/two-cute-lambs.jpg","freezer"
"Veal","Veal is meat from young cattle. It's tender and used in dishes like cutlets.","https://www.thespruceeats.com/thmb/hPtwrhJ1Nzy003SeLLsQlX35NJQ=/2500x1662/filters:fill(auto,1)/veal-piccata-2500-56a20fb05f9b58b7d0c62673.jpg","freezer"
"Goat meat","Goat meat is lean and flavorful. It's used in curries and stews.","https://cdn.shopify.com/s/files/1/0259/0182/6120/products/dreamstime_l_56893050_2048x2048.jpg?v=1572363458","freezer"
"Ground beef","Ground beef is minced beef used in burgers and sauces. It's versatile in cooking.","http://excelfreshmeats.com/wp-content/uploads/2016/10/Ground-Beef-80-Lean-high-res.jpg","freezer"
"Ground turkey","Ground turkey is minced turkey meat. It's a lean alternative to ground beef.","https://www.primaverakitchen.com/wp-content/uploads/2015/09/Ground-Turkey-Skillet-with-Green-Beans-Primavera-Kitchen-3.jpg","fridge"
"Ground pork","Ground pork is minced pork meat. It's used in meatballs and sausages.","https://www.olgainthekitchen.com/wp-content/uploads/2017/06/Ground-Pork.jpg","fridge"
"Ground chicken","Ground chicken is minced chicken meat. It's used in patties and meatloaves.","https://insanelygoodrecipes.com/wp-content/uploads/2021/05/Ground-Chicken-Meatballs-750x1125.png","freezer"
"Noodles","Noodles are strands of unleavened dough. They are used in Asian cuisines.","http://www.servedfromscratch.com/wp-content/uploads/2016/04/IMG_7450.jpg","fridge"
"Tortillas","Tortillas are thin flatbreads made from corn or wheat. They are used in Mexican dishes.","https://cdn.momsdish.com/wp-content/uploads/2020/10/Tortilla-Recipe-015.jpg","freezer"
"Pita bread","Pita bread is a soft, slightly leavened flatbread. It's used in Middle Eastern cuisines.","https://static.fanpage.it/wp-content/uploads/sites/22/2020/05/Pita-24.jpg","freezer"
"Baguette","A baguette is a long, thin loaf of French bread. It's crispy on the outside and soft inside.","https://www.el-gusto.net/wp-content/uploads/2020/08/Franzoesisches-Baguette-full.jpg","fridge"
"Sourdough bread","Sourdough bread is made by fermenting dough. It has a tangy flavor and chewy texture.","https://thewoksoflife.com/wp-content/uploads/2021/04/sourdough-bread-recipe-22-1193x1536.jpg","fridge"
"Bagel","Bagels are dense, ring-shaped bread boiled before baking. They are often topped with seeds.","https://shmagelsbagels.com/wp-content/uploads/2019/03/history-of-the-bagel.jpg","fridge"
"Croissant","Croissants are buttery, flaky pastries. They are a staple in French baking.","https://static.fanpage.it/wp-content/uploads/sites/22/2020/06/Croissant24.jpg","fridge"
